id,description,severity,mitigation,implementation_type,status,notes
H-01,Unintended lane exit,S3/E3/C2 - High,"SR-001, SR-003","C-01, C-03",Open,TTLC predictive constraint
H-02,Divergent or oscillatory heading error,S2/E3/C2 - Medium-High,"SR-002, SR-003, SR-011","C-02, C-03, C-06",Open,Heading stability (divergence + oscillation branches)
H-03,Excessive speed for current conditions,S3/E2/C1 - Medium,SR-004,C-04,Open,Curvature-dependent speed ceiling
H-04,Compound unrecoverable state,S3/E1/C3 - High,SR-005,C-05,Open,Emergency substitution mode
H-05,Excessively abrupt actuator command,S1/E3/C1 - Medium,SR-006,C-06,Open,Actuator rate limiting
H-06,Operation under invalid or unobservable state,S3/E2/C2 - High,SR-007,C-05,Open,ROS2 state freshness and validity
H-07,Inability to perform a controlled stop,S3/E1/C1 - High,"SR-005, SR-008",C-05,Open,Emergency stop behaviour
H-08,Progress stall via reward exploitation,S2/E3/C2 - Medium-High,SR-009,training,Open,Policy convergence to inaction equilibrium
H-09,Cage rule conflict,S3/E1/C2 - Medium,SR-010,arbiter,Open,Composition hazard across C-01..C-06
H-10,Lane misperception under degraded visual input,S3/E3/C2 - High,SR-012,"C-01, C-02, C-03 + training",Open,"Track 'E' (camera); cage on CV, common-cause; cf. D-41, D-43"
H-11,Loss of valid lane perception,S3/E2/C2 - High,SR-013,C-05 (CV-estimator health → controlled stop),Open,Track 'E' (camera); common-cause w/ cage CV; cf. D-43
H-12,Cage lane-misdetection (false safety envelope),S3/E2/C2 - High,SR-014,C-05 (plausibility check → controlled stop),Open,Track 'E' (camera); new under D-43; cf. H-09
