id,statement,pattern,hazards,implementation_type,criticality,scenarios,metric,status,notes
SR-001,Lane departure prevention (direct),Direct threshold,H-01,C-01,SR-CL-A,"SC-NOM-01, SC-NOM-02, SC-EDGE-02",M-S1,Open,d_max = 0.16 m
SR-002,Heading stability,Direct threshold,H-02,C-02,SR-CL-A,"SC-EDGE-01, SC-EDGE-04, SC-NOM-03",M-P4,Open,θ_max = 25 deg
SR-003,Predictive lane departure prevention (TTLC),Predictive threshold,"H-01, H-02",C-03,SR-CL-A,"SC-NOM-02, SC-EDGE-01",M-S4,Open,t_min = 1.0 s; provisional
SR-004,Speed compliance,Direct threshold,H-03,C-04,SR-CL-A,"SC-NOM-02, SC-EDGE-03",M-P3,Open,Curvature-parameterised ceiling
SR-005,Emergency mode for compound state,Emergency mode,"H-04, H-07",C-05,SR-CL-A,"SC-EDGE-04, SC-NOM-03",M-S3,Open,Δt_max = 0.2 s; a_min provisional
SR-006,Actuator smoothness,Bounded derivative,H-05,C-06,SR-CL-B,ALL,M-I5,Open,Always active
SR-007,State validity and freshness,Availability + emergency,H-06,C-05,SR-CL-A,"SC-PERT-02, SC-NOM-03",M-S3,Open,staleness_max = 200 ms
SR-008,Controlled stop on demand,Emergency mode,H-07,C-05,SR-CL-A,"SC-NOM-03, SC-EDGE-04",M-S3,Open,t_stop_max = 1.7 s
SR-009,Minimum forward progress (liveness),Liveness,H-08,training,SR-CL-B,"SC-NOM-01, SC-NOM-02, SC-NOM-03, SC-PERT-03","M-P6, M-S2 (monitoring)",Open,Δs_min = 0.10 m / t_window = 2.0 s / Δt_settle = 1.0 s
SR-010,Cage rule composition consistency,Operational envelope + bounded oscillation,H-09,arbiter,SR-CL-B,"SC-EDGE-04, SC-EDGE-05","M-S2, M-I3",Open,Joint-envelope assertion + f_osc_max = 5 Hz
SR-011,Heading stability without sustained oscillation,Bounded variance,H-02,C-06 + training,SR-CL-B,"SC-EDGE-01, SC-EDGE-04",M-P7,Open,"σ_θ_max = 5°, t_psd = 1.0 s"
SR-012,Lane-keeping under degraded visual input,Direct threshold (visual-degradation stressor),H-10,"C-01, C-02, C-03 (over CV state) + training",SR-CL-A,"SC-PERT-04, SC-PERT-05, SC-PERT-06, SC-PERT-09, SC-PERT-10","M-S1, M-S2",Open,Track 'E'; cage on CV (D-43); common-cause; cf. D-41
SR-013,Safe degradation on loss of valid perception,Availability + emergency mode,H-11,C-05 (CV-estimator health → controlled stop),SR-CL-A,SC-PERT-07,M-S3,Open,Track 'E'; open-loop stop; cf. D-43
SR-014,Cage lane-estimator plausibility (no enforcement on a suspect estimate),Operational envelope + emergency mode,H-12,C-05 (plausibility check → controlled stop),SR-CL-A,"SC-PERT-08, SC-PERT-04, SC-PERT-05, SC-PERT-06, SC-PERT-09, SC-PERT-10","M-S1, M-S3",Open,Track 'E'; new under D-43; plaus_tol provisional
